qstr_Next_Page|下 一 页 
qstr_You_have_retired_at_|你 在 经 过 {reg5}天 的 冒 险 到 达 {reg4}级 的 时 候 决 定 退 休 了。 
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数 ： {reg0}
qstr_Friendly_Settlements|友 军 领 地 数 ： {reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数 ： {reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主 ： {reg0}
qstr_Enemy_Lords:_{reg0}|敌 军 领 主 ： {reg0}
qstr_Victories:_{reg0}|胜 利 ： {reg0}
qstr_Defeats:_{reg0}|失 败 ： {reg0}
qstr_Quests_Completed:_{r|任 务 完 成 ： {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 数 ： {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 数 ： {reg0}
qstr_Wealth:_{reg0}_denar|财 富 ： {reg0}第 纳 尔 
qstr_Inventory:_{reg0}_de|物 品 栏 中 的 财 富 ： {reg0}第 纳 尔 
qstr_Renown:_{reg0}|声 望 ： {reg0}
qstr_Experience:_{reg0}|经 验 ： {reg0}
qstr_Days_Passed:_{reg0}|天 数 ： {reg0}
qstr_Difficulty:_{reg0}%|难 度 ： {reg0}% 
qstr_TOTAL_SCORE:_{reg0}|总 分 数 ： {reg0}
qstr_None|无 
qstr_BANK_OF_^VOLENCIA|弗 伦 西 亚 银 行 
qstr_Deposit|存 取
qstr_Loan|贷 款  
qstr_Give_Deposit|存 钱 
qstr_Get_Deposit|取 钱 
qstr_Return_Loan|还 款 
qstr_Get_Loan|借 贷
qstr_Yes|确 定 
qstr_you_don_t_have_enoug|你 没 有 足 够 的 钱 
qstr_you_don_t_have_enough|你 没 有 足 够 的 存 款 
qstr_you_pay_too_much_deb|你 的 还 款 超 过 债 务 本 身 
qstr_you_don_t_have_enough_|你 没 有 足 够 的 钱 
qstr_you_can_t_take_so_mu|你 不 能 一 次 贷 如 此 大 的 款 项 
qstr_Done|完 成 
qstr_Name:_{s1}^Level:_{r|名字: {s1}^等级: {reg1}
qstr_{s1}^HP:_{reg0}|{s1}^生命值: {reg0}
qstr_{s1}|{s1}
qstr_Attributes:|属性
qstr_{s3}^STR:_{reg1}^INT|{s3}^力: {reg1}^智: {reg2}^^技能:
qstr_{s3}^Power_Strike:_{|{s3}^强 击: {reg1}^强 弓: {reg2}^强 掷: {reg3}^骑 射: {reg4}^^武 器 熟 练 度:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^单 手: {reg1}^双 手: {reg2}^长 杆: {reg3}
qstr_{s3}|{s3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^敏: {reg1}^魅: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^铁 骨: {reg1}^跑 动: {reg2}^盾 防: {reg3}^骑 术: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^弓: {reg1}^弩: {reg2}^投 掷: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|装 备：
qstr__{s7}__s_troop^_Desi| {s7} 的 兵 种 树 ^ 自 定 义 你 的 王 国 兵 种 
qstr_Attributes|属 性 
qstr_Skills|技 能 
qstr_Proficiencies|熟 练 度 
qstr_Attribute_points_{re|属 性 点 {reg40}
qstr_Skill_points_{reg41}|技 能 点 {reg41}
qstr_Weapon_points_{reg42|熟 练 点 {reg42}
qstr_Save|保 存 
qstr_Reset|重 置 
qstr_Current:{s1}|Current:{s1}
qstr_{s2}^Base_Attribute:|{s2}^Base Attribute:CHA{***}
qstr_{s2}^Base_Attribute:I|{s2}^Base Attribute:INT{***}
qstr_{s2}^Base_Attribute:A|{s2}^Base Attribute:AGI{***}
qstr_{s2}^Base_Attribute:S|{s2}^Base Attribute:STR{***}
qstr_original_num:{reg50}|original num:{reg50},current num:{reg51}{***}
qstr_Next|Next{***}
qstr_Price_{reg42}^Weight|价 格 {reg42}^重 量 {reg43}
qstr_{reg5}_to_{reg6}|{reg5} 到 {reg6}
qstr_{s1}_of_{s3}_was_def|{s3}的 {s1}在 战 场 上 被 击 败 了， 但 设 法 逃 离 了。 
qstr_{s54}_is_a_claimant_|{s54}声 称 应 由 他 坐 上 {s56}的 王 座。 
qstr_nowhere|无 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_The_town_of_{s50}|{s50}镇 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}村 
qstr_{s51}_belongs_to_{s1|{s51}归 {s2}的 {s1}所 有。 ^ 
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}它 没 有 下 属 的 村 庄。 ^ 
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 属 的 村 庄 是 :的 下 属 的 村 庄 是 }{s8}。 ^ 
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 荣 度 为 ： {s50}
qstr_noone|无 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s5}_has_been_defeat|{s5}被 击 败 了！ 
qstr_{s7}_opened_the_gate|{s7}打 开 大 门 
qstr_{s7}_closed_the_gate|{s7}关 闭 大 门 
qstr_+{reg1}_to_party_mor|部 队 士 气 增 加 {reg1}
qstr_Requires_{reg1}_inte|需 要 {reg1}点 智 慧 才 能 读 
qstr_Reading_Progress:_{r|阅 读 进 度 ： {reg1}% 
qstr_wound_treament|疗 伤 
qstr_trainer|教 练 
qstr_surgery|手 术 
qstr_+1_to_{s1}_while_in_|置 于 物 品 栏 时 加 一 点 {s1}技 能 
qstr_Move_here|移 动 到 这 里 
qstr_View_notes|查 看 记 录 
qstr_Accompany|同 伴 
qstr_killed|死 亡 
qstr_wounded|受 伤 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ 总 计 ： {reg3}({s2}) 
qstr_^None|^ 无 
qstr_nothing|无 
qstr_{reg0}_village{reg1?|{reg0}村 庄 {reg1?:} 
qstr_{reg0}_castle{reg1?s|{reg0}城 堡 {reg1?:} 
qstr_{reg0}_castle{reg1?s:|{reg0}城 堡 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 镇 {reg1?:} 
qstr_{reg0}_town{reg1?s:}_|{reg0}城 镇 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 镇 {reg1?:}， {s0}
qstr_Your_opponents_are_r|你 的 对 手 已 经 准 备 好 了。 
qstr_Try_to_destroy_as_ma|你 需 要 在 两 分 半 钟 的 时 间 内 尽 可 能 多 的 摧 毁 目 标。 
qstr_Stay_behind_the_line|站 在 线 后 射 击 目 标。 尽 量 不 要 浪 费 任 何 一 发 弹 药。 
qstr_Battle_Advantage_=_{|战 场 优 势 为 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进。 
qstr__Being_Raided_|（ 被 掠 夺 中 ） 
qstr__Looted_|（ 已 被 洗 劫 ） 
qstr__Under_Siege_|（ 陷 入 包 围 ） 
qstr_The_village_of_{s1}_|{s1}村 遭 受 了 {s2}的 掠 夺。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 围 了。 
qstr_Small_bands_of_enemi|{s1}附 近 发 现 小 股 敌 军。 
qstr_Enemy_patrols_spotte|{s1}附 近 发 现 敌 军 巡 逻。 
qstr_Medium_sized_group_o|{s1}附 近 发 现 敌 军 中 等 规 模 部 队。 
qstr_Significant_group_of|{s1}附 近 发 现 敌 军 大 部 队。 
qstr_Army_of_enemies_spot|{s1}附 近 发 现 敌 军 集 团。 
qstr_Large_army_of_enemie|{s1}附 近 发 现 大 规 模 敌 军 集 团。 
qstr_Great_host_of_enemie|{s1}附 近 发 现 超 大 规 模 敌 军 集 团。 
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 围。 
qstr__{s1}__{s11}:_{s14}|（ {s1}） {s11}： {s14}
qstr_{s14}__{s21}_|{s14}（ {s21}） 
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帅。 
qstr_You_gained_{reg12}_r|你 获 得 了 {reg12}点 声 望。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}点 声 望。 
qstr_Your_relation_with_{|你 与 {s1}的 关 系 提 升 了。 
qstr_Your_relation_with_{s|你 与 {s1}的 关 系 恶 化 了。 
qstr_You_gain_honour.|你 获 得 荣 誉。 
qstr_You_lose_honour.|你 失 去 荣 誉。 
qstr_{s1}_has_declared_wa|{s1}已 经 向 {s2}宣 战。 
qstr_{s1}_and_{s2}_have_m|{s1}与 {s2}已 经 达 成 了 停 战 协 议。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 经 :正 在 }赶 去 {s3}， 而 {reg4?她 :他 }{reg3? 之 前 :也 许 }在 {s4}{reg3?:附 近}。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正} 在 野 外 某 地， 而 {reg4?她:他} {reg3?之 前:也 许} 在 {s3}{reg3?:附 近}。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已 :已 经 }被 {reg4?她 的 :他 的 }敌 人 俘 虏。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 确:我 不 知 道 {s2}在 哪 里}。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 队。 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}第 纳 尔。 
qstr_Renown_value_for_thi|这 场 战 斗 的 声 望 评 估 为 {reg8}点。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中！ 
qstr_You_are_attacked_by_|你 被 一 群 强 盗 打 劫 了！ 
qstr_Holding|坚 守 中 
qstr_Following|随 行 中 
qstr_Charging|冲 锋 中 
qstr_Advancing|前 进 中 
qstr_Falling_Back|后 退 中 
qstr_Standing_Closer|聚 拢 中 
qstr_Spreading_Out|散 开 中 
qstr_Standing|站 立 中 
qstr_N/A|无 效 
qstr_Free|自 由 行 动 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|钝 击 武 器 
qstr_{s1}_Rebels|{s1}叛 军 
qstr_Given_by:_{s62}|给 予 人 ： {s62}
qstr_Given_on:_{s60}|开 始 于 ： {s60}
qstr_You_have_{reg0}_days|你 还 有 {reg0}天 来 完 成 这 个 任 务。 
qstr_This_quest_has_been_|任 务 完 成。 找 {s59}谈 话 来 结 束 这 个 任 务。 
qstr_This_quest_has_been_s|任 务 成 功 完 成。 找 {s59}谈 话 来 索 取 你 的 报 酬。 
qstr_This_quest_has_faile|任 务 失 败。 找 {s59}谈 话 来 解 释 情 况。 
qstr_At_the_time_quest_wa|接 受 任 务 时 ： ^{s1}
qstr_{s5}_has_a_strength_|{s5}的 军 队 共 有 {reg1}人。 
qstr_The_last_time_you_sa|上 一 次 你 见 到 {reg1?她:他}， {s1}
qstr_The_last_time_you_he|上 一 次 你 听 说 到 {reg1?她:他}， {s1}
qstr_Current_garrison_con|当 前 的 守 城 部 队 有 {reg5}人。 ^ 共 有 {reg6}天 的 存 粮。 
qstr_Very_Poor|非 常 贫 穷 
qstr_Poor|贫 穷 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_Manor|庄 园 
qstr_A_manor_lets_you_res|有 了 一 个 庄 园， 你 就 可 以 在 村 子 中 休 息， 而 且 在 此 期 间 你 只 用 付 相 当 于 平 时 一 半 的 工 资 给 你 的 部 队。 
qstr_Mill|磨 坊 
qstr_A_mill_increases_vil|有 了 一 个 磨 坊， 就 可 以 使 村 子 的 繁 荣 度 提 升 5%。 
qstr_Watch_Tower|了 望 塔 
qstr_A_watch_tower_lets_t|有 了 一 个 了 望 塔， 就 可 以 使 村 民 更 早 的 发 出 警 报， 并 延 长 敌 人 掠 夺 这 村 子 的 时 间 50%。 
qstr_School|学 校 
qstr_A_shool_increases_th|有 了 一 个 学 校， 就 可 以 使 村 民 对 你 的 忠 诚 度 每 月 提 升 1 点。 
qstr_Messenger_Post|驿 站 
qstr_A_messenger_post_let|有 了 一 个 驿 站， 就 可 以 使 村 民 在 村 子 旁 发 现 敌 军 时 向 你 汇 报， 不 论 你 离 村 子 有 多 远。 
qstr_Prison_Tower|监 狱 
qstr_A_prison_tower_reduc|有 了 一 个 监 狱， 就 可 以 使 被 俘 获 的 领 主 成 功 逃 跑 的 几 率 降 低。 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 荣 度 从 {s3}变 到 {s4}。 
qstr_{s4}_looks_upset.|{s4}看 起 来 很 失 落。 
qstr_your_party|你 的 部 队 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 个 俘 虏 :俘 虏 }{s3}的 {s1}从 监 狱 逃 跑 了！ 
qstr_You_brought_{reg3}_h|你 带 了 {reg3}头 牛 去 {s1}。 
qstr_I_heard_that_there_w|我 听 说 在 {s62}将 会 举 办 一 场 竞 技 大 会。 
qstr_I_heard_that_one_can|我 听 说 {s62}在 {s63}卖 得 很 便 宜。 
qstr_I_heard_that_they_pa|我 听 说 {s62}在 {s63}卖 的 很 贵。 
qstr_two_days_ago|两 天 之 前 
qstr_Best_threat_of_{s4}_|最 有 威 胁 的 {s4}价 值 等 级 为 {reg1}
qstr_No_center_found_to_d|没 发 现 防 守 地 点 
qstr_You_gain_right_to_ru|你 获 得 统 治 权。 
qstr_You_lose_right_to_ru|你 失 去 统 治 权。 
qstr_^Alive^Wound^Dead|^存活^受伤^死亡
qstr_U^{reg1}^{reg2}^{reg|我^{reg1}^{reg2}^{reg3}{***}
qstr_A^{reg4}^{reg5}^{reg|友^{reg4}^{reg5}^{reg6}{***}
qstr_E^{reg7}^{reg8}^{reg|敌^{reg7}^{reg8}^{reg9}{***}
qstr__| {***}
qstr__{reg50}{reg51}_|({reg50},{reg51}){***}
qstr_Name:{s1}^Cash:_{reg|名 字:{s1}^现 金: {reg1}^存 款: {reg2}^债 务: {reg3}^荣 誉:{reg4}{***}
qstr_{reg0}|{reg0}{***}
qstr_WAR:{reg10}|WAR:{reg10}{***}
qstr_ranks|行 列 
qstr_shield_wall|盾 墙   
qstr_wedge|楔 形 
qstr_square|方 阵 
qstr_up|up{***}
qstr_Infantry_forming_{s1|步 兵 形 成 {s1}.{***}
qstr_Not_enough_infantry_|没 有 足 够 的 步 兵 组 成 {s1}, but holding.
qstr_Cavalry_forming_{s1}|骑 兵 形 成 {s1}.{***}
qstr_Not_enough_cavalry_t|没 有 足 够 的 骑 兵 组 成 {s1}, but holding.
qstr_Archers_forming_{s1}|射 手 形 成 {s1}.{***}
qstr_Not_enough_archers_t|没 有 足 够 的 射 手 组 成 {s1}, but holding.
qstr_Infantry_formation_d|步 兵 阵 型 解 散 
qstr_Cavalry_formation_di|骑 兵 阵 型 解 散 
qstr_Archer_formation_dis|射 手 阵 型 解 散 
qstr_You_got_keys_of_dung|你 得 到 了 地 牢 钥 匙。 
qstr_Forming_ranks.|Forming ranks.{***}
qstr_You_whistle_for_your|You whistle for your horse.{***}
qstr_You_must_stay_behind|你 必 须 站 在 线 后！ 此 次 攻 击 无 效。 
qstr_Tutorial|训 练 
qstr_XXXXXXXXXXXXXXXXXXXX|XXXXXXXXXXXXXXXXXXXXXXXXXXXXxxxxx{***}
qstr_You_came_into_the_wo|你 作 为 一 个 没 落 贵 族 家 庭 中 的 {reg3?女 儿 :儿 子 }降 生 在 这 个 世 界 上， 家 中 只 剩 下 了 一 幢 房 子 还 矗 立 着， 记 录 着 已 经 散 去 的 往 日 荣 光。 不 过， 即 使 生 活 困 苦， 家 里 依 然 给 予 了 你 很 好 的 教 育， 并 从 孩 童 时 期 就 对 你 进 行 严 格 的 行 为 举 止 方 面 的 训 练。 
qstr_You_were_born_the_{r|你 是 一 位 旅 行 商 人 的 {reg3?女 儿:儿 子}， 为 了 追 寻 利 益， 他 们 经 常 从 一 个 地 方 到 另 一 个 地 方 四 处 奔 走。 即 使 你 的 父 母 比 常 人 富 有， 并 且 尽 他 们 所 能 给 予 你 最 好 的 教 育， 在 旅 行 中， 你 还 是 会 时 常 与 别 人 买 卖 一 些 小 玩 意， 并 交 上 一 些 朋 友。 
qstr_As_a_child_your_fami|在 孩 童 时 期， 依 靠 着 父 亲 在 城 中 做 护 卫 的 一 点 微 薄 工 资， 你 和 家 人 过 着 艰 苦 而 清 贫 的 生 活， 并 且 你 也 支 付 不 起 学 费， 所 以 你 主 要 学 习 的 是 如 何 在 不 论 手 中 是 否 握 有 武 器 的 各 种 情 况 下 尽 量 保 护 自 己。 
qstr_{reg3?daughter:son}|{reg3?女 儿 :儿 子 }
qstr_You_were_the_{reg3?d|你 是 一 个 居 住 在 森 林 中 的 家 庭 里 面 的 {reg3?女 儿 :儿 子 }在 这 里 你 们 过 着 自 给 自 足 的 生 活。 对 于 你 家 里 来 说 冬 天 并 不 能 称 之 为 一 个 好 的 季 节， 它 带 走 的 不 仅 是 牲 畜， 还 有 人 的 性 命。 不 过 每 天 你 依 然 期 盼 着 下 一 个 黎 明， 即 使 你 的 兄 弟 姐 妹 可 能 已 经 看 不 到 那 些 了。 
qstr_You_were_a_child_of_|你 是 一 个 草 原 之 子， 生 活 在 一 个 不 断 迁 徙 着 的 游 牧 部 落 之 中。 象 部 落 中 其 他 人 一 样， 你 们 将 马 看 得 比 任 何 事 物 都 重 要， 在 你 学 会 走 路 之 前， 你 就 已 经 学 会 了 骑 马。 
qstr_As_the_{reg3?daughte|作 为 盗 贼 的 {reg3?女 儿:儿 子}， 你 已 懂 得 很 少 “ 正 规 ” 的 教 育。 你 从 小 就 在 大 街 上 乞 讨， 直 到 学 会 如 何 割 钱 包 ； 之 后 一 直 割 包， 直 到 学 会 如 何 解 锁， 整 个 童 年 就 是 在 这 样 的 过 程 中 度 过 的。 经 过 这 些 漫 长 的 岁 月， 你 学 会 了 盗 贼 的 生 存 方 式， 隐 入 了 城 市 的 阴 暗 巷 道 之 中。 
qstr_As_a_{reg3?girl:boy}|你 被 送 到 本 地 中 的 一 个 贵 族 家 庭 中 寄 养。 渐 渐 如 同 其 他 {reg3?女 孩 :男 孩 }一 样 长 大。 在 那 里， 你 在 等 侯 家 主 和 夫 人 的 过 程 中， 学 会 第 一 堂 名 为 “ 谦 卑 ” 的 课 程。 此 外， 在 和 他 们 的 对 弈 、 闲 谈 、 甚 至 是 对 伟 大 功 绩 或 高 尚 爱 情 的 诗 赞 中， 你 迅 速 地 学 会 了 成 人 世 界 的 争 斗 和 竞 争。 你 也 会 从 其 他 孩 子 的 野 蛮 游 戏 中， 在 他 们 以 木 棒 代 剑 的 对 打 中， 学 会 他 们 大 人 的 用 剑 方 法。 
qstr_As_a_{reg3?girl:boy}_|你 作 为 一 名 本 地 工 匠 的 学 徒 学 会 了 如 何 进 行 买 卖， 并 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大。 在 数 年 的 努 力 工 作 和 学 习 后， 他 升 你 为 正 式 工 匠， 付 你 全 薪 直 到 你 决 定 离 开。 
qstr_As_a_{reg3?girl:boy}_g|你 作 为 一 名 有 钱 的 商 人 的 学 徒， 在 多 年 的 交 易 和 行 商 中 挖 掘 出 买 卖 才 能， 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大。 你 很 快 就 学 会 了 低 入 高 出， 并 标 出 让 顾 客 满 意 价 格 的 技 巧。 
qstr_As_a_{reg3?girl:boy}_gr|你 被 遗 弃 在 大 街 上 为 了 生 存 而 无 所 不 为， 却 像 其 他 {reg3?女 孩 :男 孩 }一 样 逐 渐 成 长。 从 最 初 的 偷 盗， 到 仅 仅 只 是 为 了 获 得 一 块 面 包 而 为 那 些 歹 徒 工 作。 你 每 天 都 在 这 种 残 酷 的 世 界 中 挣 扎， 并 总 在 执 法 者 和 病 魔 到 来 之 前 藏 好 自 己。 
qstr_As_a_{reg3?girl:boy}_gro|在 和 其 他 {reg3?女 孩 :男 孩 }一 样 的 成 长 过 程 中， 你 曾 在 大 草 原 上 骑 着 自 己 的 马 匹， 学 习 着 从 草 原 或 沙 漠 之 中 寻 找 方 向。 在 无 痕 的 大 地 上 虽 然 不 时 挨 饿， 你 还 是 成 了 一 名 熟 练 的 猎 人 和 探 险 者， 你 的 身 体 也 开 始 布 满 了 结 实 的 肌 肉—— 这， 就 是 作 为 游 牧 之 {reg3?女 :民 }的 生 活 方 式。 
qstr_{reg3?daughter:man}|{reg3?女 子 :男 人 }
qstr_Though_the_distincti|尽 管 阶 级 高 下 如 此 悬 殊， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人:男 人}， 整 个 世 界 将 因 你 而 改 变。 作 为 一 个 上 层 贵 族 的 指 定 护 卫， 你 长 时 间 的 练 习 各 种 武 器， 学 习 如 何 出 击 和 招 架。 被 教 导 要 对 主 人 效 忠， 以 及 对 那 些 将 来 可 能 成 为 你 属 下 的 人 负 责。 在 学 习 骑 士 理 想 的 时 候， 从 那 些 老 兵 的 故 事 你 也 知 道 了 不 怎 么 光 彩 的 一 面—— 残 忍 的 强 权 政 治， 背 叛 和 篡 夺， 以 及 为 了 目 的 不 择 手 段。 
qstr_{reg3?woman:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distinctio|尽 管 你 突 然 领 悟 到 阶 级 差 别， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {s13}， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 你 进 入 了 上 层 女 士 的 紧 密 圈 子， 她 们 全 是 真 正 的 淑 女， 妇 人 们 、 贵 族 夫 人 们， 以 及 一 些 未 婚 千 金 们。 不 论 如 何， 你 总 是 在 女 士 们 在 大 厅 里 穿 着 为 求 显 赫 和 争 红 斗 艳 的 吸 引 男 子 眼 球 的 潮 流 妆 扮 中 嗅 到 政 治 的 味 道。 你 很 快 学 习 到 将 这 些 情 景 和 举 动 变 为 自 己 优 势 的 方 法。 这 将 让 令 你 重 新 认 识 自 己， 并 让 你 了 解， 假 如 你 在 这 方 面 花 些 功 夫 的 话， 将 会 对 世 界 产 生 巨 大 的 影 响。 
qstr_Though_the_distinction|尽 管 你 突 然 领 悟 到 阶 级 差 别， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {s13}， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 仅 仅 带 着 背 上 的 乐 器 和 自 己 的 嗓 音 你 就 出 发 了。 那 是 一 段 穷 苦 的 生 活， 因 为 人 们 不 赏 识 你 的 演 奏 而 在 许 许 多 多 的 夜 里 挨 饿， 不 过 你 设 法 靠 音 乐 维 持 生 存。 多 年 以 后 你 在 酒 馆 里 为 醉 鬼 们 熟 练 的 演 奏， 甚 至 还 能 让 任 何 人 说 出 你 想 要 的 的 东 西。 
qstr_Though_the_distinction_|你 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人:男 人}， 当 你 突 然 领 悟 了 荣 誉 时， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 作 为 一 个 大 城 市 里 的 学 生， 你 在 学 院 里 学 习 神 学 、 哲 学 和 医 学， 不 过 不 是 所 有 的 课 程 都 在 讲 堂 上 学 的。 你 有 时 也 和 朋 友 们 在 小 巷 里 闲 逛， 喝 酒， 找 女 人， 打 架。 不 管 怎 么 说， 你 能 观 察 到 如 何 接 上 脱 臼 的 下 巴， 或 者 如 何 说 服 一 个 怒 火 中 烧 的 市 民 放 下 大 棒， 为 他 被 砸 烂 的 店 铺 接 受 现 金 赔 偿。 
qstr_Though_the_distinction_f|尽 管 你 突 然 领 悟 到 阶 级 差 别， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {s13}， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 你 走 村 串 巷， 沿 街 叫 卖 自 己 贩 来 的 货 物。 那 一 段 并 不 富 裕 的 生 活， 让 你 逐 渐 成 长 为 讲 价 的 能 手， 即 使 最 吝 啬 的 老 前 辈 也 能 给 你 一 个 好 价 钱。 你 知 道， 不 久 你 将 开 始 发 展 自 己 的 贸 易 帝 国…… 
qstr_Though_the_distinction_fe|尽 管 你 突 然 领 悟 到 阶 级 差 别， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {s13}， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 你 从 事 铁 匠 职 业， 用 手 打 造 出 各 种 各 样 的 工 具。 你 逐 渐 掌 握 了 技 巧， 努 力 的 工 作 也 换 来 了 金 钱 、 食 物 和 火 上 的 铁 料。 你 以 自 己 的 工 作 为 傲， 并 且 不 久 就 会 获 得 工 匠 大 师 的 称 号。 
qstr_Though_the_distinction_fel|尽 管 你 突 然 领 悟 到 阶 级 差 别， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {s13}， 你 身 边 的 整 个 世 界 似 乎 都 变 了。 不 满 于 普 通 人 对 于 金 钱 的 拼 死 争 夺， 你 潜 入 领 主 的 森 林， 在 该 死 的 法 律 之 外 自 己 来 一 点 慷 慨。 你 猎 杀 野 鹿 、 野 猪 和 野 鹅， 偷 偷 卖 出 这 些 美 味 的 干 肉。 你 在 看 守 的 鼻 子 底 下 砍 树 并 劈 成 木 柴， 在 冬 夜 温 暖 许 多 冰 冷 的 家 庭。 当 然， 只 收 一 点 点 银 子。 
