trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_castle_54_seneschal_pl|城 堡 管 家 
trp_castle_55_seneschal|城 堡 管 家 
trp_castle_55_seneschal_pl|城 堡 管 家 
trp_castle_56_seneschal|城 堡 管 家 
trp_castle_56_seneschal_pl|城 堡 管 家 
trp_castle_57_seneschal|城 堡 管 家 
trp_castle_57_seneschal_pl|城 堡 管 家 
trp_castle_58_seneschal|城 堡 管 家 
trp_castle_58_seneschal_pl|城 堡 管 家 
trp_castle_59_seneschal|城 堡 管 家 
trp_castle_59_seneschal_pl|城 堡 管 家 
trp_castle_60_seneschal|城 堡 管 家 
trp_castle_60_seneschal_pl|城 堡 管 家 
trp_castle_61_seneschal|城 堡 管 家 
trp_castle_61_seneschal_pl|城 堡 管 家 
trp_castle_62_seneschal|城 堡 管 家 
trp_castle_62_seneschal_pl|城 堡 管 家 
trp_castle_63_seneschal|城 堡 管 家 
trp_castle_63_seneschal_pl|城 堡 管 家 
trp_castle_64_seneschal|城 堡 管 家 
trp_castle_64_seneschal_pl|城 堡 管 家 
trp_castle_65_seneschal|城 堡 管 家 
trp_castle_65_seneschal_pl|城 堡 管 家 
trp_castle_66_seneschal|城 堡 管 家 
trp_castle_66_seneschal_pl|城 堡 管 家 
trp_castle_67_seneschal|城 堡 管 家 
trp_castle_67_seneschal_pl|城 堡 管 家 
trp_castle_68_seneschal|城 堡 管 家 
trp_castle_68_seneschal_pl|城 堡 管 家 
trp_castle_69_seneschal|城 堡 管 家 
trp_castle_69_seneschal_pl|城 堡 管 家 
trp_castle_70_seneschal|城 堡 管 家 
trp_castle_70_seneschal_pl|城 堡 管 家 
trp_castle_71_seneschal|城 堡 管 家 
trp_castle_71_seneschal_pl|城 堡 管 家 
trp_castle_72_seneschal|城 堡 管 家 
trp_castle_72_seneschal_pl|城 堡 管 家 
trp_castle_73_seneschal|城 堡 管 家 
trp_castle_73_seneschal_pl|城 堡 管 家 
trp_castle_74_seneschal|城 堡 管 家 
trp_castle_74_seneschal_pl|城 堡 管 家 
trp_castle_75_seneschal|城 堡 管 家 
trp_castle_75_seneschal_pl|城 堡 管 家 
trp_castle_76_seneschal|城 堡 管 家 
trp_castle_76_seneschal_pl|城 堡 管 家 
trp_castle_77_seneschal|城 堡 管 家 
trp_castle_77_seneschal_pl|城 堡 管 家 
trp_castle_78_seneschal|城 堡 管 家 
trp_castle_78_seneschal_pl|城 堡 管 家 
trp_castle_79_seneschal|城 堡 管 家 
trp_castle_79_seneschal_pl|城 堡 管 家 
trp_castle_80_seneschal|城 堡 管 家 
trp_castle_80_seneschal_pl|城 堡 管 家 
trp_castle_81_seneschal|城 堡 管 家 
trp_castle_81_seneschal_pl|城 堡 管 家 
trp_castle_82_seneschal|城 堡 管 家 
trp_castle_82_seneschal_pl|城 堡 管 家 
trp_castle_83_seneschal|城 堡 管 家 
trp_castle_83_seneschal_pl|城 堡 管 家 
trp_castle_84_seneschal|城 堡 管 家 
trp_castle_84_seneschal_pl|城 堡 管 家 
trp_castle_85_seneschal|城 堡 管 家 
trp_castle_85_seneschal_pl|城 堡 管 家 
trp_castle_86_seneschal|城 堡 管 家 
trp_castle_86_seneschal_pl|城 堡 管 家 
trp_castle_87_seneschal|城 堡 管 家 
trp_castle_87_seneschal_pl|城 堡 管 家 
trp_castle_88_seneschal|城 堡 管 家 
trp_castle_88_seneschal_pl|城 堡 管 家 
trp_castle_89_seneschal|城 堡 管 家 
trp_castle_89_seneschal_pl|城 堡 管 家 
trp_castle_90_seneschal|城 堡 管 家 
trp_castle_90_seneschal_pl|城 堡 管 家 
trp_castle_91_seneschal|城 堡 管 家 
trp_castle_91_seneschal_pl|城 堡 管 家 
trp_castle_92_seneschal|城 堡 管 家 
trp_castle_92_seneschal_pl|城 堡 管 家 
trp_castle_93_seneschal|城 堡 管 家 
trp_castle_93_seneschal_pl|城 堡 管 家 
trp_castle_94_seneschal|城 堡 管 家 
trp_castle_94_seneschal_pl|城 堡 管 家 
trp_castle_95_seneschal|城 堡 管 家 
trp_castle_95_seneschal_pl|城 堡 管 家 
trp_castle_96_seneschal|城 堡 管 家 
trp_castle_96_seneschal_pl|城 堡 管 家 
trp_castle_97_seneschal|城 堡 管 家 
trp_castle_97_seneschal_pl|城 堡 管 家 
trp_castle_98_seneschal|城 堡 管 家 
trp_castle_98_seneschal_pl|城 堡 管 家 
trp_castle_99_seneschal|城 堡 管 家 
trp_castle_99_seneschal_pl|城 堡 管 家 
trp_castle_100_seneschal|城 堡 管 家 
trp_castle_100_seneschal_pl|城 堡 管 家 
trp_castle_101_seneschal|城 堡 管 家 
trp_castle_101_seneschal_pl|城 堡 管 家 
trp_castle_102_seneschal|城 堡 管 家 
trp_castle_102_seneschal_pl|城 堡 管 家 
trp_castle_103_seneschal|城 堡 管 家 
trp_castle_103_seneschal_pl|城 堡 管 家 
trp_castle_104_seneschal|城 堡 管 家 
trp_castle_104_seneschal_pl|城 堡 管 家 
trp_castle_105_seneschal|城 堡 管 家 
trp_castle_105_seneschal_pl|城 堡 管 家 
trp_castle_106_seneschal|城 堡 管 家 
trp_castle_106_seneschal_pl|城 堡 管 家 
trp_castle_107_seneschal|城 堡 管 家 
trp_castle_107_seneschal_pl|城 堡 管 家 
trp_castle_108_seneschal|城 堡 管 家 
trp_castle_108_seneschal_pl|城 堡 管 家 
trp_castle_109_seneschal|城 堡 管 家 
trp_castle_109_seneschal_pl|城 堡 管 家 
trp_castle_110_seneschal|城 堡 管 家 
trp_castle_110_seneschal_pl|城 堡 管 家 
trp_castle_111_seneschal|城 堡 管 家 
trp_castle_111_seneschal_pl|城 堡 管 家 
trp_castle_112_seneschal|城 堡 管 家 
trp_castle_112_seneschal_pl|城 堡 管 家 
trp_castle_113_seneschal|城 堡 管 家 
trp_castle_113_seneschal_pl|城 堡 管 家 
trp_castle_114_seneschal|城 堡 管 家 
trp_castle_114_seneschal_pl|城 堡 管 家 
trp_castle_115_seneschal|城 堡 管 家 
trp_castle_115_seneschal_pl|城 堡 管 家 
trp_castle_116_seneschal|城 堡 管 家 
trp_castle_116_seneschal_pl|城 堡 管 家 
trp_castle_117_seneschal|城 堡 管 家 
trp_castle_117_seneschal_pl|城 堡 管 家 
trp_castle_118_seneschal|城 堡 管 家 
trp_castle_118_seneschal_pl|城 堡 管 家 
trp_castle_119_seneschal|城 堡 管 家 
trp_castle_119_seneschal_pl|城 堡 管 家 
trp_castle_120_seneschal|城 堡 管 家 
trp_castle_120_seneschal_pl|城 堡 管 家 
trp_castle_121_seneschal|城 堡 管 家 
trp_castle_121_seneschal_pl|城 堡 管 家 
trp_castle_122_seneschal|城 堡 管 家 
trp_castle_122_seneschal_pl|城 堡 管 家 
trp_castle_123_seneschal|城 堡 管 家 
trp_castle_123_seneschal_pl|城 堡 管 家 
trp_castle_124_seneschal|城 堡 管 家 
trp_castle_124_seneschal_pl|城 堡 管 家 
trp_castle_125_seneschal|城 堡 管 家 
trp_castle_125_seneschal_pl|城 堡 管 家 
trp_castle_126_seneschal|城 堡 管 家 
trp_castle_126_seneschal_pl|城 堡 管 家 
trp_castle_127_seneschal|城 堡 管 家 
trp_castle_127_seneschal_pl|城 堡 管 家 
trp_castle_128_seneschal|城 堡 管 家 
trp_castle_128_seneschal_pl|城 堡 管 家 
trp_castle_129_seneschal|城 堡 管 家 
trp_castle_129_seneschal_pl|城 堡 管 家 
trp_castle_130_seneschal|城 堡 管 家 
trp_castle_130_seneschal_pl|城 堡 管 家 
trp_castle_131_seneschal|城 堡 管 家 
trp_castle_131_seneschal_pl|城 堡 管 家 
trp_castle_132_seneschal|城 堡 管 家 
trp_castle_132_seneschal_pl|城 堡 管 家 
trp_castle_133_seneschal|城 堡 管 家 
trp_castle_133_seneschal_pl|城 堡 管 家 
trp_castle_134_seneschal|城 堡 管 家 
trp_castle_134_seneschal_pl|城 堡 管 家 
trp_castle_135_seneschal|城 堡 管 家 
trp_castle_135_seneschal_pl|城 堡 管 家 
trp_find_item_cheat|find item cheat 
trp_find_item_cheat_pl|find item cheat 
trp_random_town_sequence|Random Town Sequence 
trp_random_town_sequence_pl|Random Town Sequence 
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|锤 子 手 
trp_tutorial_maceman_pl|锤 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|正 规 斗 士 
trp_regular_fighter_pl|正 规 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|精 英 斗 士 
trp_champion_fighter_pl|精 英 斗 士 
trp_arena_training_fighter_1|初 级 斗 士 
trp_arena_training_fighter_1_pl|初 级 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|正 规 斗 士 
trp_arena_training_fighter_3_pl|正 规 斗 士 
trp_arena_training_fighter_4|正 规 斗 士 
trp_arena_training_fighter_4_pl|正 规 斗 士 
trp_arena_training_fighter_5|正 规 斗 士 
trp_arena_training_fighter_5_pl|正 规 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|资 深 斗 士 
trp_arena_training_fighter_7_pl|资 深 斗 士 
trp_arena_training_fighter_8|资 深 斗 士 
trp_arena_training_fighter_8_pl|资 深 斗 士 
trp_arena_training_fighter_9|精 英 斗 士 
trp_arena_training_fighter_9_pl|精 英 斗 士 
trp_arena_training_fighter_10|精 英 斗 士 
trp_arena_training_fighter_10_pl|精 英 斗 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民 
trp_farmer_pl|农 民 
trp_townsman|市 民 
trp_townsman_pl|市 民 
trp_watchman|雇 佣 民 兵 
trp_watchman_pl|雇 佣 民 兵 
trp_caravan_guard|商 队 护 卫 
trp_caravan_guard_pl|商 队 护 卫 
trp_mercenary_swordsman|雇 佣 剑 士 
trp_mercenary_swordsman_pl|雇 佣 剑 士 
trp_hired_blade|重 装 佣 兵 
trp_hired_blade_pl|重 装 佣 兵 
trp_mercenary_crossbowman|雇 佣 火 枪 手 
trp_mercenary_crossbowman_pl|雇 佣 火 枪 手 
trp_mercenary_horseman|雇 佣 骑 手 
trp_mercenary_horseman_pl|雇 佣 骑 手 
trp_mercenary_cavalry|雇 佣 骑 士 
trp_mercenary_cavalry_pl|雇 佣 骑 士 
trp_mercenaries_end|mercenaries end 
trp_mercenaries_end_pl|mercenaries end 
trp_swadian_recruit|法 兰 西 民 兵 
trp_swadian_recruit_pl|法 兰 西 民 兵 
trp_swadian_militia|法 兰 西 步 兵 
trp_swadian_militia_pl|法 兰 西 步 兵 
trp_swadian_footman|法 兰 西 剑 士 
trp_swadian_footman_pl|法 兰 西 剑 士 
trp_swadian_infantry|法 兰 西 重 步 兵 
trp_swadian_infantry_pl|法 兰 西 重 步 兵 
trp_swadian_pikeman|法 兰 西 长 枪 兵 
trp_swadian_pikeman_pl|法 兰 西 长 枪 兵 
trp_swadian_sergeant|法 兰 西 重 装 长 枪 兵 
trp_swadian_sergeant_pl|法 兰 西 重 装 长 枪 兵 
trp_swadian_skirmisher|法 兰 西 弩 手 
trp_swadian_skirmisher_pl|法 兰 西 弩 手 
trp_swadian_crossbowman|法 兰 西 重 装 弩 手 
trp_swadian_crossbowman_pl|法 兰 西 重 装 弩 手 
trp_swadian_sharpshooter|法 兰 西 火 枪 手 
trp_swadian_sharpshooter_pl|法 兰 西 火 枪 手 
trp_swadian_retinue|法 兰 西 轻 骑 兵 
trp_swadian_retinue_pl|法 兰 西 轻 骑 兵 
trp_swadian_man_at_arms|法 兰 西 枪 骑 兵 
trp_swadian_man_at_arms_pl|法 兰 西 枪 骑 兵 
trp_swadian_knight|法 兰 西 重 装 骑 士 
trp_swadian_knight_pl|法 兰 西 重 装 骑 士 
trp_swadian_messenger|斯 瓦 迪 亚 传 令 兵 
trp_swadian_messenger_pl|斯 瓦 迪 亚 传 令 兵 
trp_swadian_deserter|斯 瓦 迪 亚 逃 兵 
trp_swadian_deserter_pl|斯 瓦 迪 亚 逃 兵 
trp_swadian_prison_guard|监 狱 守 卫 
trp_swadian_prison_guard_pl|监 狱 守 卫 
trp_swadian_castle_guard|城 堡 护 卫 
trp_swadian_castle_guard_pl|城 堡 护 卫 
trp_vaegir_recruit|莫 斯 科 平 民 
trp_vaegir_recruit_pl|莫 斯 科 平 民 
trp_vaegir_footman|莫 斯 科 民 兵 
trp_vaegir_footman_pl|莫 斯 科 民 兵 
trp_vaegir_skirmisher|莫 斯 科 弓 手 
trp_vaegir_skirmisher_pl|莫 斯 科 弓 手 
trp_vaegir_archer|莫 斯 科 弓 骑 兵 
trp_vaegir_archer_pl|莫 斯 科 弓 骑 兵 
trp_vaegir_marksman|莫 斯 科 火 枪 手 
trp_vaegir_marksman_pl|莫 斯 科 火 枪 手 
trp_vaegir_veteran|莫 斯 科 步 兵 
trp_vaegir_veteran_pl|莫 斯 科 步 兵 
trp_vaegir_guard|莫 斯 科 贵 族 步 兵 
trp_vaegir_guard_pl|莫 斯 科 贵 族 步 兵 
trp_vaegir_horseman|莫 斯 科 骑 兵 
trp_vaegir_horseman_pl|莫 斯 科 骑 兵 
trp_vaegir_knight|莫 斯 科 贵 族 重 骑 兵 
trp_vaegir_knight_pl|莫 斯 科 贵 族 重 骑 兵 
trp_vaegir_messenger|维 吉 亚 传 令 兵 
trp_vaegir_messenger_pl|维 吉 亚 传 令 兵 
trp_vaegir_deserter|维 吉 亚 逃 兵 
trp_vaegir_deserter_pl|维 吉 亚 逃 兵 
trp_vaegir_prison_guard|监 狱 守 卫 
trp_vaegir_prison_guard_pl|监 狱 守 卫 
trp_vaegir_castle_guard|城 堡 护 卫 
trp_vaegir_castle_guard_pl|城 堡 护 卫 
trp_khergit_tribesman|日 耳 曼 民 兵 
trp_khergit_tribesman_pl|日 耳 曼 民 兵 
trp_khergit_skirmisher|日 耳 曼 民 兵 弩 手  
trp_khergit_skirmisher_pl|日 耳 曼 民 兵 弩 手  
trp_khergit_horseman|日 耳 曼 轻 骑 兵 
trp_khergit_horseman_pl|日 耳 曼 轻 骑 兵 
trp_khergit_lancer|日 耳 曼 重 骑 兵 
trp_khergit_lancer_pl|日 耳 曼 重 骑 兵 
trp_summer_lancer_guard|哥 特 骑 士 
trp_summer_lancer_guard_pl|哥 特 骑 士 
trp_khergit_horse_archer|日 耳 曼 火 枪 手 
trp_khergit_horse_archer_pl|日 耳 曼 火 枪 手 
trp_khergit_veteran_horse_archer|黑 衫 骑 士 
trp_khergit_veteran_horse_archer_pl|黑 衫 骑 士 
trp_summer_footman|帝 国 轻 步 兵 
trp_summer_footman_pl|帝 国 轻 步 兵 
trp_summer_infantry|帝 国 步 兵 
trp_summer_infantry_pl|帝 国 步 兵 
trp_summer_sergeant|帝 国 双 手 剑 士 
trp_summer_sergeant_pl|帝 国 双 手 剑 士 
trp_summer_crossbowman|步 行 哥 特 骑 士 
trp_summer_crossbowman_pl|步 行 哥 特 骑 士 
trp_summer_sharpshooter|日 耳 曼 长 枪 兵 
trp_summer_sharpshooter_pl|日 耳 曼 长 枪 兵 
trp_summer_pikeman1|帝 国 长 枪 兵 
trp_summer_pikeman1_pl|帝 国 长 枪 兵 
trp_khergit_messenger|库 吉 特 传 令 兵 
trp_khergit_messenger_pl|库 吉 特 传 令 兵 
trp_khergit_deserter|库 吉 特 逃 兵 
trp_khergit_deserter_pl|库 吉 特 逃 兵 
trp_khergit_prison_guard|监 狱 守 卫 
trp_khergit_prison_guard_pl|监 狱 守 卫 
trp_khergit_castle_guard|城 堡 护 卫 
trp_khergit_castle_guard_pl|城 堡 护 卫 
trp_nord_recruit|意 大 利 平 民 
trp_nord_recruit_pl|意 大 利 平 民 
trp_nord_footman|意 大 利 民 兵 
trp_nord_footman_pl|意 大 利 民 兵 
trp_nord_trained_footman|意 大 利 长 枪 兵 
trp_nord_trained_footman_pl|意 大 利 长 枪 兵 
trp_nord_warrior|意 大 利 镇 守 卫 
trp_nord_warrior_pl|意 大 利 镇 守 卫 
trp_hench_halberdman|教 皇 卫 队 
trp_hench_halberdman_pl|教 皇 卫 队 
trp_nord_huntsman|意 大 利 民 兵 射 手 
trp_nord_huntsman_pl|意 大 利 民 兵 射 手 
trp_nord_archer|意 大 利 火 枪 手 
trp_nord_archer_pl|意 大 利 火 枪 手 
trp_nord_veteran_archer|意 大 利 巨 盾 弩 兵 
trp_nord_veteran_archer_pl|意 大 利 巨 盾 弩 兵 
trp_hench_hackbuteer|意 大 利 骑 马 民 兵 
trp_hench_hackbuteer_pl|意 大 利 骑 马 民 兵 
trp_nord_veteran|残 枪 骑 士 
trp_nord_veteran_pl|残 枪 骑 士 
trp_nord_champion|威 尼 斯 重 步 兵 
trp_nord_champion_pl|威 尼 斯 重 步 兵 
trp_nord_messenger|诺 德 传 令 兵 
trp_nord_messenger_pl|诺 德 传 令 兵 
trp_nord_deserter|诺 德 逃 兵 
trp_nord_deserter_pl|诺 德 逃 兵 
trp_nord_prison_guard|监 狱 守 卫 
trp_nord_prison_guard_pl|监 狱 守 卫 
trp_nord_castle_guard|城 堡 护 卫 
trp_nord_castle_guard_pl|城 堡 护 卫 
trp_rhodok_tribesman|卡 尔 玛 民 兵 
trp_rhodok_tribesman_pl|卡 尔 玛 民 兵 
trp_rhodok_spearman|卡 尔 玛 长 枪 兵 
trp_rhodok_spearman_pl|卡 尔 玛 长 枪 兵 
trp_rhodok_trained_spearman|卡 尔 玛 剑 士 
trp_rhodok_trained_spearman_pl|卡 尔 玛 剑 士 
trp_rhodok_veteran_spearman|卡 尔 玛 重 步 兵 
trp_rhodok_veteran_spearman_pl|卡 尔 玛 重 步 兵 
trp_rhodok_sergeant|卡 尔 玛 骑 兵 
trp_rhodok_sergeant_pl|卡 尔 玛 骑 兵 
trp_rhodok_crossbowman|卡 尔 玛 重 骑 兵 
trp_rhodok_crossbowman_pl|卡 尔 玛 重 骑 兵 
trp_rhodok_trained_crossbowman|卡 尔 玛 民 兵 火 枪 手 
trp_rhodok_trained_crossbowman_pl|卡 尔 玛 民 兵 火 枪 手 
trp_rhodok_veteran_crossbowman|卡 尔 玛 火 枪 手 
trp_rhodok_veteran_crossbowman_pl|卡 尔 玛 火 枪 手 
trp_rhodok_sharpshooter|卡 尔 玛 重 装 火 枪 手 
trp_rhodok_sharpshooter_pl|卡 尔 玛 重 装 火 枪 手 
trp_rhodok_messenger|罗 多 克 传 令 兵 
trp_rhodok_messenger_pl|罗 多 克 传 令 兵 
trp_rhodok_deserter|罗 多 克 逃 兵 
trp_rhodok_deserter_pl|罗 多 克 逃 兵 
trp_rhodok_prison_guard|监 狱 守 卫 
trp_rhodok_prison_guard_pl|监 狱 守 卫 
trp_rhodok_castle_guard|城 堡 护 卫 
trp_rhodok_castle_guard_pl|城 堡 护 卫 
trp_sarranid_recruit|奥 斯 曼 平 民 
trp_sarranid_recruit_pl|奥 斯 曼 平 民 
trp_sarranid_footman|奥 斯 曼 民 兵 
trp_sarranid_footman_pl|奥 斯 曼 民 兵 
trp_sarranid_veteran_footman|奥 斯 曼 步 兵 
trp_sarranid_veteran_footman_pl|奥 斯 曼 步 兵 
trp_sarranid_guard|奥 斯 曼 重 步 兵 
trp_sarranid_guard_pl|奥 斯 曼 重 步 兵 
trp_sarranid_archer|巴 尔 干 民 兵 
trp_sarranid_archer_pl|巴 尔 干 民 兵 
trp_sarranid_skirmisher|土 耳 其 弓 手 
trp_sarranid_skirmisher_pl|土 耳 其 弓 手 
trp_sarranid_master_archer|新 军 弓 手 
trp_sarranid_master_archer_pl|新 军 弓 手 
trp_sarranid_light_horseman|奥 斯 曼 弓 骑 兵 
trp_sarranid_light_horseman_pl|奥 斯 曼 弓 骑 兵 
trp_sarranid_mamluke|新 军 火 枪 手 
trp_sarranid_mamluke_pl|新 军 火 枪 手 
trp_sarranid_spearman|奥 斯 曼 矛 兵 
trp_sarranid_spearman_pl|奥 斯 曼 矛 兵 
trp_sarranid_sipahi|步 行 奥 斯 曼 枪 骑 兵 
trp_sarranid_sipahi_pl|步 行 奥 斯 曼 枪 骑 兵 
trp_sarranid_horseman|土 耳 其 轻 骑 兵 
trp_sarranid_horseman_pl|土 耳 其 轻 骑 兵 
trp_sarranid_sipahi_cavalry|西 帕 希 骑 兵 
trp_sarranid_sipahi_cavalry_pl|西 帕 希 骑 兵 
trp_sarranid_messenger|萨 兰 德 传 令 兵 
trp_sarranid_messenger_pl|萨 兰 德 传 令 兵 
trp_sarranid_deserter|萨 兰 德 逃 兵 
trp_sarranid_deserter_pl|萨 兰 德 逃 兵 
trp_sarranid_prison_guard|监 狱 守 卫 
trp_sarranid_prison_guard_pl|监 狱 守 卫 
trp_sarranid_castle_guard|城 堡 护 卫 
trp_sarranid_castle_guard_pl|城 堡 护 卫 
trp_ming_skirmisher|卫 所 步 兵 
trp_ming_skirmisher_pl|卫 所 步 兵 
trp_ming_lancer|明 军 轻 骑 兵 
trp_ming_lancer_pl|明 军 轻 骑 兵 
trp_ming_horse_archer|边 军 骑 兵 
trp_ming_horse_archer_pl|边 军 骑 兵 
trp_ming_veteran_horse_archer|辽 东 铁 骑 
trp_ming_veteran_horse_archer_pl|辽 东 铁 骑 
trp_ming_footman|上 直 卫 亲 军 
trp_ming_footman_pl|上 直 卫 亲 军 
trp_ming_infantry|明 军 长 枪 民 兵 
trp_ming_infantry_pl|明 军 长 枪 民 兵 
trp_ming_sharpshooter|明 军 重 弩 兵 
trp_ming_sharpshooter_pl|明 军 重 弩 兵 
trp_ming_infantry1|明 军 重 步 兵 
trp_ming_infantry1_pl|明 军 重 步 兵 
trp_ming_dismounted_imperial_guard|五 军 营 步 兵 
trp_ming_dismounted_imperial_guard_pl|五 军 营 步 兵 
trp_ming_gunner|明 军 火 铳 手 
trp_ming_gunner_pl|明 军 火 铳 手 
