itm_no_item|INVALID ITEM 
itm_practice_bolts_9_amount_pl|练 习 弩 矢 
itm_practice_boots|训 练 靴 
itm_practice_boots_pl|训 练 靴 
itm_red_tourney_armor|红 色 竞 技 甲 
itm_red_tourney_armor_pl|红 色 竞 技 甲 
itm_blue_tourney_armor|蓝 色 竞 技 甲 
itm_blue_tourney_armor_pl|蓝 色 竞 技 甲 
itm_green_tourney_armor|绿 色 竞 技 甲 
itm_green_tourney_armor_pl|绿 色 竞 技 甲 
itm_gold_tourney_armor|金 色 竞 技 甲 
itm_gold_tourney_armor_pl|金 色 竞 技 甲 
itm_red_tourney_helmet|红 色 竞 技 盔 
itm_red_tourney_helmet_pl|红 色 竞 技 盔 
itm_blue_tourney_helmet|蓝 色 竞 技 盔 
itm_blue_tourney_helmet_pl|蓝 色 竞 技 盔 
itm_green_tourney_helmet|绿 色 竞 技 盔 
itm_green_tourney_helmet_pl|绿 色 竞 技 盔 
itm_gold_tourney_helmet|金 色 竞 技 盔 
itm_gold_tourney_helmet_pl|金 色 竞 技 盔 
itm_arena_shield_red|盾 
itm_arena_shield_red_pl|盾 
itm_arena_shield_blue|盾 
itm_arena_shield_blue_pl|盾 
itm_arena_shield_green|盾 
itm_arena_shield_green_pl|盾 
itm_arena_shield_yellow|盾 
itm_arena_shield_yellow_pl|盾 
itm_arena_armor_white|白 色 竞 技 甲 
itm_arena_armor_white_pl|白 色 竞 技 甲 
itm_arena_armor_red|红 色 竞 技 甲 
itm_arena_armor_red_pl|红 色 竞 技 甲 
itm_arena_armor_blue|蓝 色 竞 技 甲 
itm_arena_armor_blue_pl|蓝 色 竞 技 甲 
itm_arena_armor_green|绿 色 竞 技 甲 
itm_arena_armor_green_pl|绿 色 竞 技 甲 
itm_arena_armor_yellow|黄 色 竞 技 甲 
itm_arena_armor_yellow_pl|黄 色 竞 技 甲 
itm_arena_tunic_white|白 色 竞 技 短 袍 
itm_arena_tunic_white_pl|白 色 竞 技 短 袍 
itm_arena_tunic_red|红 色 竞 技 短 袍 
itm_arena_tunic_red_pl|红 色 竞 技 短 袍 
itm_arena_tunic_blue|蓝 色 竞 技 短 袍 
itm_arena_tunic_blue_pl|蓝 色 竞 技 短 袍 
itm_arena_tunic_green|绿 色 竞 技 短 袍 
itm_arena_tunic_green_pl|绿 色 竞 技 短 袍 
itm_arena_tunic_yellow|黄 色 竞 技 短 袍 
itm_arena_tunic_yellow_pl|黄 色 竞 技 短 袍 
itm_arena_helmet_red|红 色 竞 技 盔 
itm_arena_helmet_red_pl|红 色 竞 技 盔 
itm_arena_helmet_blue|蓝 色 竞 技 盔 
itm_arena_helmet_blue_pl|蓝 色 竞 技 盔 
itm_arena_helmet_green|绿 色 竞 技 盔 
itm_arena_helmet_green_pl|绿 色 竞 技 盔 
itm_arena_helmet_yellow|黄 色 竞 技 盔 
itm_arena_helmet_yellow_pl|黄 色 竞 技 盔 
itm_steppe_helmet_white|白 色 草 原 盔 
itm_steppe_helmet_white_pl|白 色 草 原 盔 
itm_steppe_helmet_red|红 色 草 原 盔 
itm_steppe_helmet_red_pl|红 色 草 原 盔 
itm_steppe_helmet_blue|蓝 色 草 原 盔 
itm_steppe_helmet_blue_pl|蓝 色 草 原 盔 
itm_steppe_helmet_green|绿 色 草 原 盔 
itm_steppe_helmet_green_pl|绿 色 草 原 盔 
itm_steppe_helmet_yellow|黄 色 草 原 盔 
itm_steppe_helmet_yellow_pl|黄 色 草 原 盔 
itm_tourney_helm_white|白 色 赛 场 盔 
itm_tourney_helm_white_pl|白 色 赛 场 盔 
itm_tourney_helm_red|红 色 赛 场 盔 
itm_tourney_helm_red_pl|红 色 赛 场 盔 
itm_tourney_helm_blue|蓝 色 赛 场 盔 
itm_tourney_helm_blue_pl|蓝 色 赛 场 盔 
itm_tourney_helm_green|绿 色 赛 场 盔 
itm_tourney_helm_green_pl|绿 色 赛 场 盔 
itm_tourney_helm_yellow|黄 色 赛 场 盔 
itm_tourney_helm_yellow_pl|黄 色 赛 场 盔 
itm_arena_turban_red|竞 技 头 巾 
itm_arena_turban_red_pl|竞 技 头 巾 
itm_arena_turban_blue|竞 技 头 巾 
itm_arena_turban_blue_pl|竞 技 头 巾 
itm_arena_turban_green|竞 技 头 巾 
itm_arena_turban_green_pl|竞 技 头 巾 
itm_arena_turban_yellow|竞 技 头 巾 
itm_arena_turban_yellow_pl|竞 技 头 巾 
itm_book_tactics|罗 马 军 制 论 
itm_book_tactics_pl|罗 马 军 制 论 
itm_book_persuasion|修 辞 学 
itm_book_persuasion_pl|修 辞 学 
itm_book_leadership|亚 历 山 大 传 记 
itm_book_leadership_pl|亚 历 山 大 传 记 
itm_book_intelligence|逻 辑 论 文 
itm_book_intelligence_pl|逻 辑 论 文 
itm_book_trade|价 值 论 
itm_book_trade_pl|价 值 论 
itm_book_weapon_mastery|剑 斗 艺 术 
itm_book_weapon_mastery_pl|剑 斗 艺 术 
itm_book_engineering|机 械 原 理 
itm_book_engineering_pl|机 械 原 理 
itm_book_wound_treatment_reference|治 疗 之 书 
itm_book_wound_treatment_reference_pl|治 疗 之 书 
itm_book_training_reference|兵 器 手 册 
itm_book_training_reference_pl|兵 器 手 册 
itm_book_surgery_reference|手 术 大 全 
itm_book_surgery_reference_pl|手 术 大 全 
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|盐 
itm_salt_pl|盐 
itm_oil|油 
itm_oil_pl|油 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|亚 麻 捆 
itm_raw_flax_pl|亚 麻 捆 
itm_linen|亚 麻 布 
itm_linen_pl|亚 麻 布 
itm_wool|羊 毛 
itm_wool_pl|羊 毛 
itm_wool_cloth|毛 呢 
itm_wool_cloth_pl|毛 呢 
itm_raw_silk|生 丝 
itm_raw_silk_pl|生 丝 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|天 鹅 绒 
itm_velvet_pl|天 鹅 绒 
itm_iron|生 铁 
itm_iron_pl|生 铁 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|兽 皮 
itm_raw_leather_pl|兽 皮 
itm_leatherwork|皮 革 制 品 
itm_leatherwork_pl|皮 革 制 品 
itm_raw_date_fruit|枣 肉 
itm_raw_date_fruit_pl|枣 肉 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_wine|葡 萄 酒 
itm_wine_pl|葡 萄 酒 
itm_ale|麦 芽 酒 
itm_ale_pl|麦 芽 酒 
itm_smoked_fish|熏 鱼 
itm_smoked_fish_pl|熏 鱼 
itm_cheese|奶 酪 
itm_cheese_pl|奶 酪 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_sausages|腊 肠 
itm_sausages_pl|腊 肠 
itm_cabbages|卷 心 菜 
itm_cabbages_pl|卷 心 菜 
itm_dried_meat|风 干 肉 
itm_dried_meat_pl|风 干 肉 
itm_apples|苹 果 
itm_apples_pl|苹 果 
itm_raw_grapes|葡 萄 
itm_raw_grapes_pl|葡 萄 
itm_raw_olives|橄 榄 
itm_raw_olives_pl|橄 榄 
itm_grain|小 麦 
itm_grain_pl|小 麦 
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|面 包 
itm_bread_pl|面 包 
itm_chicken|鸡 肉 
itm_chicken_pl|鸡 肉 
itm_pork|猪 肉 
itm_pork_pl|猪 肉 
itm_butter|奶 油 
itm_butter_pl|奶 油 
itm_siege_supply|补 给 品 
itm_siege_supply_pl|补 给 品 
itm_good_whisky|威 士 忌 
itm_good_glasswork|玻 璃 工 艺 品 
itm_good_turkish_carpet|土 耳 其 地 毯 
itm_good_pepper|胡 椒 
itm_good_nutmeg|肉 豆 蔻 
itm_good_chinese_cloth|锦 缎 
itm_good_studhorse|种 马 
itm_good_vodka|伏 特 加 
itm_good_sake|清 酒 
itm_good_mercury|水 银 
itm_good_tobacco|烟 草 
itm_quest_wine|葡 萄 酒 
itm_quest_wine_pl|葡 萄 酒 
itm_quest_ale|麦 芽 酒 
itm_quest_ale_pl|麦 芽 酒 
itm_tutorial_sword|剑 
itm_tutorial_sword_pl|剑 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|战 斗 斧 
itm_tutorial_battle_axe_pl|战 斗 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飞 刀 
itm_tutorial_throwing_daggers_pl|飞 刀 
itm_tutorial_saddle_horse|旅 行 马 
itm_tutorial_saddle_horse_pl|旅 行 马 
itm_tutorial_shield|筝 形 盾 
itm_tutorial_shield_pl|筝 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_sumpter_horse|驮 马 
itm_sumpter_horse_pl|驮 马 
itm_saddle_horse|旅 行 马 
itm_saddle_horse_pl|旅 行 马 
itm_steppe_horse|草 原 马 
itm_steppe_horse_pl|草 原 马 
itm_arabian_horse_a|沙 漠 马 
itm_arabian_horse_a_pl|沙 漠 马 
itm_courser|骏 马 
itm_courser_pl|骏 马 
itm_arabian_horse_b|萨 兰 德 马 
itm_arabian_horse_b_pl|萨 兰 德 马 
itm_hunter|猎 马 
itm_hunter_pl|猎 马 
itm_warhorse|军 马 
itm_warhorse_pl|军 马 
itm_charger|战 马 
itm_charger_pl|战 马 
itm_warhorse_sarranid|萨 兰 德 军 马 
itm_warhorse_sarranid_pl|萨 兰 德 军 马 
itm_warhorse_steppe|草 原 战 马 
itm_warhorse_steppe_pl|草 原 战 马 
itm_red_lion_charger|红 狮 战 马 
itm_red_lion_charger_pl|红 狮 战 马 
itm_red_yellow_charger|红 黄 战 马 
itm_red_yellow_charger_pl|红 黄 战 马 
itm_blue_plate_charger|蓝 色 板 甲 战 马 
itm_blue_plate_charger_pl|蓝 色 板 甲 战 马 
itm_bule_charger|湛 蓝 战 马
itm_bule_charger_pl|湛 蓝 战 马
itm_warhorse_china|大 明 具 装 战 马
itm_warhorse_china_pl|大 明 具 装 战 马
itm_song_charger_b|大 明 具 装 战 马
itm_song_charger_b_pl|大 明 具 装 战 马
itm_camel|骆 驼
itm_camel_pl|骆 驼
itm_charge_france|法 兰 战 马
itm_charge_france_pl|法 兰 战 马
itm_charge_france_2|法 兰 战 马
itm_charge_france_2_pl|法 兰 战 马
itm_charge_german|德 国 战 马
itm_charge_german_pl|德 国 战 马
itm_charge_teuton_2|条 顿 战 马
itm_charge_teuton_2_pl|条 顿 战 马
itm_platecharger_france|法 兰 西 板 甲 战 马
itm_platecharger_france_pl|法 兰 西 板 甲 战 马
itm_platecharger_france_2|法 兰 西 板 甲 战 马
itm_platecharger_france_2_pl|法 兰 西 板 甲 战 马
itm_platecharger_german|德 国 板 甲 战 马
itm_platecharger_german_pl|德 国 板 甲 战 马
itm_yf_ydzx|象 (汉 匈 ）
itm_yf_ydzx_pl|象 (汉 匈 ）
itm_baima|白 马 
itm_baima_pl|白 马 
itm_hongma|红 马 
itm_hongma_pl|红 马 
itm_huangma|黄 马 
itm_huangma_pl|黄 马 
itm_baima1|白 马 1
itm_baima1_pl|白 马 1
itm_qing_horse|女 真 轻 甲 战 马 
itm_qing_horse_pl|女 真 轻 甲 战 马 
itm_qing_horse_z|女 真 重 甲 战 马 
itm_qing_horse_z_pl|女 真 重 甲 战 马 
itm_long_hospitaller_horse|圣 约 翰 战 马 
itm_long_hospitaller_horse_pl|圣 约 翰 战 马 
itm_arrows|箭 
itm_arrows_pl|箭 
itm_khergit_arrows|库 吉 特 箭 
itm_khergit_arrows_pl|库 吉 特 箭 
itm_daming_arrow|明 箭 
itm_daming_arrow_pl|明 箭 
itm_barbed_arrows|倒 刺 箭 
itm_barbed_arrows_pl|倒 刺 箭 
itm_bodkin_arrows|锥 头 箭 
itm_bodkin_arrows_pl|锥 头 箭 
itm_bolts|弩 矢 
itm_bolts_pl|弩 矢 
itm_steel_bolts|钢 弩 矢 
itm_steel_bolts_pl|钢 弩 矢 
itm_cartridges|弹 药 筒 
itm_cartridges_pl|弹 药 筒 
itm_grenades1|火 焰 弹 弹 药 
itm_grenades1_pl|火 焰 弹 弹 药 
itm_grenades2|火 箭 
itm_grenades2_pl|火 箭 
itm_pilgrim_disguise|朝 圣 者 服 
itm_pilgrim_disguise_pl|朝 圣 者 服 
itm_pilgrim_hood|朝 圣 者 风 帽 
itm_pilgrim_hood_pl|朝 圣 者 风 帽 
itm_leather_gloves|皮 手 套 
itm_leather_gloves_pl|皮 手 套 
itm_mail_mittens|链 甲 手 套 
itm_mail_mittens_pl|链 甲 手 套 
itm_scale_gauntlets|鱼 鳞 甲 臂 铠 
itm_scale_gauntlets_pl|鱼 鳞 甲 臂 铠 
itm_lamellar_gauntlets|鳞 片 甲 臂 铠 
itm_lamellar_gauntlets_pl|鳞 片 甲 臂 铠 
itm_gauntlets|臂 铠 
itm_gauntlets_pl|臂 铠 
itm_new_gauntlets|覆 甲 手 套
itm_new_gauntlets_pl|覆 甲 手 套
itm_zuoshou1_l|铁 护 手
itm_zuoshou1_l_pl|铁 护 手
itm_zuoshou2_l|铁 护 手
itm_zuoshou2_l_pl|铁 护 手
itm_zuoshou3_l|铁 护 手
itm_zuoshou3_l_pl|铁 护 手
itm_zuoshou4_l|铁 护 手
itm_zuoshou4_l_pl|铁 护 手
itm_zuoshou5_l|铁 护 手
itm_zuoshou5_l_pl|铁 护 手
itm_hourglass_gauntlets_l|骑 士 臂 铠
itm_hourglass_gauntlets_l_pl|骑 士 臂 铠
itm_kote_l|笼 手 
itm_kote_l_pl|笼 手 
itm_black_hand11|黑 色 手 
itm_black_hand11_pl|黑 色 手 
itm_wrapping_boots|绑 腿 
itm_wrapping_boots_pl|绑 腿 
itm_woolen_hose|羊 毛 裤 
itm_woolen_hose_pl|羊 毛 裤 
itm_blue_hose|蓝 羊 毛 裤 
itm_blue_hose_pl|蓝 羊 毛 裤 
itm_hunter_boots|猎 靴 
itm_hunter_boots_pl|猎 靴 
itm_hide_boots|兽 皮 靴 
itm_hide_boots_pl|兽 皮 靴 
itm_ankle_boots|短 靴 
itm_ankle_boots_pl|短 靴 
itm_nomad_boots|游 牧 靴 
itm_nomad_boots_pl|游 牧 靴 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_splinted_leather_greaves|夹 板 式 皮 护 腿 
itm_splinted_leather_greaves_pl|夹 板 式 皮 护 腿 
itm_mail_chausses|链 甲 护 腿 
itm_mail_chausses_pl|链 甲 护 腿 
itm_splinted_greaves|夹 板 式 护 腿 
itm_splinted_greaves_pl|夹 板 式 护 腿 
itm_mail_boots|链 甲 靴 
itm_mail_boots_pl|链 甲 靴 
itm_iron_greaves|铁 护 腿 
itm_iron_greaves_pl|铁 护 腿 
itm_black_greaves|黑 护 腿 
itm_black_greaves_pl|黑 护 腿 
itm_khergit_leather_boots|库 吉 特 皮 靴 
itm_khergit_leather_boots_pl|库 吉 特 皮 靴 
itm_sarranid_boots_a|萨 兰 德 鞋 
itm_sarranid_boots_a_pl|萨 兰 德 鞋 
itm_sarranid_boots_b|萨 兰 德 皮 靴 
itm_sarranid_boots_b_pl|萨 兰 德 皮 靴 
itm_sarranid_boots_c|覆 板 靴 
itm_sarranid_boots_c_pl|覆 板 靴 
itm_sarranid_boots_d|萨 兰 德 链 甲 靴 
itm_sarranid_boots_d_pl|萨 兰 德 链 甲 靴 
itm_fysg_bin_shazei01_t|布 鞋 
itm_fysg_bin_shazei01_t_pl|布 鞋 
itm_new_plate_boots|覆 甲 靴
itm_new_plate_boots_pl|覆 甲 靴
itm_new_leather_boots|战 靴
itm_new_leather_boots_pl|战 靴
itm_b_h1|高 地 靴 
itm_b_h1_pl|高 地 靴 
itm_b_h1_1|高 地 靴 
itm_b_h1_1_pl|高 地 靴 
itm_b_h2|高 地 靴 
itm_b_h2_pl|高 地 靴 
itm_b_h2_1|高 地 靴 
itm_b_h2_1_pl|高 地 靴 
itm_xie1|板 甲 战 靴
itm_xie1_pl|板 甲 战 靴
itm_xie2|板 甲 战 靴
itm_xie2_pl|板 甲 战 靴
itm_xie3|板 甲 战 靴
itm_xie3_pl|板 甲 战 靴
itm_xie4|板 甲 战 靴
itm_xie4_pl|板 甲 战 靴
itm_xie5|板 甲 战 靴
itm_xie5_pl|板 甲 战 靴
itm_splinted_greaves_nospurs|护 胫
itm_splinted_greaves_nospurs_pl|护 胫
itm_kalmyk_tapki|卡 尔 梅 克 靴
itm_kalmyk_tapki_pl|卡 尔 梅 克 靴
itm_mokas|印 第 安 鞋 
itm_mokas_pl|印 第 安 鞋 
itm_kazakh_boots|哈 萨 克 靴 子 
itm_kazakh_boots_pl|哈 萨 克 靴 子 
itm_coyote_boots|土 狼 祭 司 鞋 
itm_coyote_boots_pl|土 狼 祭 司 鞋 
itm_eagle_boots|雄 鹰 鞋 
itm_eagle_boots_pl|雄 鹰 鞋 
itm_jaguar_boots|猛 虎 鞋 
itm_jaguar_boots_pl|猛 虎 鞋 
itm_cuahchiqueh_boots|战 士 鞋 
itm_cuahchiqueh_boots_pl|战 士 鞋 
itm_cuahchiqueh_boots3|战 士 鞋 3
itm_cuahchiqueh_boots3_pl|战 士 鞋 3
itm_cuahchiqueh_boots3333|战 士 鞋 3333
itm_cuahchiqueh_boots3333_pl|战 士 鞋 3333
itm_cuahchiqueh_boots2|战 士 鞋 
itm_cuahchiqueh_boots2_pl|战 士 鞋 
itm_shadow_greaves|忍 者 靴 
itm_shadow_greaves_pl|忍 者 靴 
itm_korean_boot|鞋 子 
itm_korean_boot_pl|鞋 子 
itm_mongol_boot|蒙 古 靴 子 
itm_mongol_boot_pl|蒙 古 靴 子 
itm_suneate|具 足 
itm_suneate_pl|具 足 
itm_yidazzkuixie|黑 具 足 
itm_yidazzkuixie_pl|黑 具 足 
itm_jinyizzxie|红 具 足 
itm_jinyizzxie_pl|红 具 足 
itm_daming_boots|明 靴 
itm_daming_boots_pl|明 靴 
itm_black_foot11|黑 色 腿 
itm_black_foot11_pl|黑 色 腿 
itm_sarranid_head_cloth|女 式 头 布 
itm_sarranid_head_cloth_pl|女 式 头 布 
itm_sarranid_head_cloth_b|女 式 头 布 
itm_sarranid_head_cloth_b_pl|女 式 头 布 
itm_sarranid_felt_head_cloth|头 布 
itm_sarranid_felt_head_cloth_pl|头 布 
itm_sarranid_felt_head_cloth_b|头 布 
itm_sarranid_felt_head_cloth_b_pl|头 布 
itm_lady_dress_ruby|连 衣 裙 
itm_lady_dress_ruby_pl|连 衣 裙 
itm_lady_dress_green|连 衣 裙 
itm_lady_dress_green_pl|连 衣 裙 
itm_lady_dress_blue|连 衣 裙 
itm_lady_dress_blue_pl|连 衣 裙 
itm_red_dress|红 色 连 衣 裙 
itm_red_dress_pl|红 色 连 衣 裙 
itm_brown_dress|棕 色 连 衣 裙 
itm_brown_dress_pl|棕 色 连 衣 裙 
itm_green_dress|绿 色 连 衣 裙 
itm_green_dress_pl|绿 色 连 衣 裙 
itm_khergit_lady_dress|库 吉 特 连 衣 裙 
itm_khergit_lady_dress_pl|库 吉 特 连 衣 裙 
itm_khergit_lady_dress_b|库 吉 特 女 式 皮 裙 
itm_khergit_lady_dress_b_pl|库 吉 特 女 式 皮 裙 
itm_sarranid_lady_dress|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_pl|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_b|萨 兰 德 连 衣 裙 
itm_sarranid_lady_dress_b_pl|萨 兰 德 连 衣 裙 
itm_sarranid_common_dress|萨 兰 德 裙 
itm_sarranid_common_dress_pl|萨 兰 德 裙 
itm_sarranid_common_dress_b|萨 兰 德 裙 
itm_sarranid_common_dress_b_pl|萨 兰 德 裙 
itm_courtly_outfit|宫 廷 服 
itm_courtly_outfit_pl|宫 廷 服 
itm_nobleman_outfit|贵 族 服 
itm_nobleman_outfit_pl|贵 族 服 
itm_nomad_armor|游 牧 甲 
itm_nomad_armor_pl|游 牧 甲 
itm_khergit_armor|库 吉 特 甲 
itm_khergit_armor_pl|库 吉 特 甲 
itm_leather_jacket|皮 夹 克 
itm_leather_jacket_pl|皮 夹 克 
itm_rawhide_coat|生 皮 外 套 
itm_rawhide_coat_pl|生 皮 外 套 
itm_leather_armor|皮 甲 
itm_leather_armor_pl|皮 甲 
itm_fur_coat|毛 皮 外 套 
itm_fur_coat_pl|毛 皮 外 套 
itm_coat|外 套 
itm_coat_pl|外 套 
itm_leather_coat|皮 外 套 
itm_leather_coat_pl|皮 外 套 
itm_mail_coat|链 甲 外 套 
itm_mail_coat_pl|链 甲 外 套 
itm_long_mail_coat|长 摆 链 甲 外 套 
itm_long_mail_coat_pl|长 摆 链 甲 外 套 
itm_mail_with_tunic_red|Mail with Tunic{***}
itm_mail_with_tunic_red_pl|Mail with Tunic{***}
itm_mail_with_tunic_green|Mail with Tunic{***}
itm_mail_with_tunic_green_pl|Mail with Tunic{***}
itm_hide_coat|兽 皮 外 套 
itm_hide_coat_pl|兽 皮 外 套 
itm_merchant_outfit|商 人 服 
itm_merchant_outfit_pl|商 人 服 
itm_homespun_dress|粗 布 衣 
itm_homespun_dress_pl|粗 布 衣 
itm_thick_coat|厚 外 套 
itm_thick_coat_pl|厚 外 套 
itm_coat_with_cape|斗 篷 外 套 
itm_coat_with_cape_pl|斗 篷 外 套 
itm_steppe_outfit|草 原 服 
itm_steppe_outfit_pl|草 原 服 
itm_nordic_outfit|日 耳 曼 服 
itm_nordic_outfit_pl|日 耳 曼 服 
itm_nordic_armor|日 耳 曼 甲 
itm_nordic_armor_pl|日 耳 曼 甲 
itm_hide_armor|兽 皮 甲 
itm_hide_armor_pl|兽 皮 甲 
itm_cloaked_tunic|披 风 短 袍 
itm_cloaked_tunic_pl|披 风 短 袍 
itm_sleeveless_tunic|无 袖 短 袍 
itm_sleeveless_tunic_pl|无 袖 短 袍 
itm_sleeveless_leather_tunic|无 袖 皮 短 袍 
itm_sleeveless_leather_tunic_pl|无 袖 皮 短 袍 
itm_linen_shirt|亚 麻 衬 衫 
itm_linen_shirt_pl|亚 麻 衬 衫 
itm_wool_coat|羊 毛 外 套 
itm_wool_coat_pl|羊 毛 外 套 
itm_dress|连 衣 裙 
itm_dress_pl|连 衣 裙 
itm_blue_dress|蓝 色 连 衣 裙 
itm_blue_dress_pl|蓝 色 连 衣 裙 
itm_peasant_dress|农 妇 连 衣 裙 
itm_peasant_dress_pl|农 妇 连 衣 裙 
itm_woolen_dress|羊 毛 连 衣 裙 
itm_woolen_dress_pl|羊 毛 连 衣 裙 
itm_shirt|衬 衫 
itm_shirt_pl|衬 衫 
itm_linen_tunic|亚 麻 短 袍 
itm_linen_tunic_pl|亚 麻 短 袍 
itm_short_tunic|红 色 短 袍 
itm_short_tunic_pl|红 色 短 袍 
itm_red_shirt|红 色 衬 衫 
itm_red_shirt_pl|红 色 衬 衫 
itm_red_tunic|红 色 短 袍 
itm_red_tunic_pl|红 色 短 袍 
itm_green_tunic|绿 色 短 袍 
itm_green_tunic_pl|绿 色 短 袍 
itm_blue_tunic|蓝 色 短 袍 
itm_blue_tunic_pl|蓝 色 短 袍 
itm_robe|长 袍 
itm_robe_pl|长 袍 
itm_coarse_tunic|带 背 心 短 袍 
itm_coarse_tunic_pl|带 背 心 短 袍 
itm_leather_apron|皮 围 裙 
itm_leather_apron_pl|皮 围 裙 
itm_tabard|短 袖 袍 
itm_tabard_pl|短 袖 袍 
itm_leather_vest|皮 背 心 
itm_leather_vest_pl|皮 背 心 
itm_steppe_armor|草 原 甲 
itm_steppe_armor_pl|草 原 甲 
itm_gambeson|软 甲 
itm_gambeson_pl|软 甲 
itm_blue_gambeson|蓝 色 软 甲 
itm_blue_gambeson_pl|蓝 色 软 甲 
itm_red_gambeson|红 色 软 甲 
itm_red_gambeson_pl|红 色 软 甲 
itm_padded_cloth|棉 袍 
itm_padded_cloth_pl|棉 袍 
itm_aketon_green|棉 袍 
itm_aketon_green_pl|棉 袍 
itm_leather_jerkin|皮 短 袖 衣 
itm_leather_jerkin_pl|皮 短 袖 衣 
itm_nomad_vest|游 牧 背 心 
